TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,hindsightsolutions.net,"pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807",programmaticians.com,prosegments.com,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",REMARKS
https://timeout.com,-,https://timeout.com,https://timeout.com/ads.txt,True,"hindsightsolutions.net, 22652678936, RESELLER",-,-,-,-,-,-,
https://hawtcelebs.com,-,https://hawtcelebs.com,https://hawtcelebs.com/ads.txt,True,"hindsightsolutions.net, 323-b5957, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 63d019e538e7f8c0798b8f64, DIRECT; hindsightsolutions.net, 22652678936, RESELLER","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace",-,"rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807",-,-,-,
https://sofascore.com,-,https://sofascore.com,https://sofascore.com/ads.txt,True,"hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2",-,-,-,-,-,-,
https://books2020.com,-,-,-,-,-,-,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='books2020.com', port=443): Max retries exceeded with url: /ads.txt (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1017)')))"
https://mundodeportivo.com,-,https://mundodeportivo.com,https://mundodeportivo.com/ads.txt,True,"hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 346, DIRECT; hindsightsolutions.net, 63d019e538e7f8c0798b8f64, DIRECT",-,-,-,-,-,-,
https://ilovenovels.com,-,-,-,-,-,-,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='ilovenovels.com', port=443): Max retries exceeded with url: /ads.txt (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1017)')))"
https://booksnovels.com,-,-,-,-,-,-,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='booksnovels.com', port=443): Max retries exceeded with url: /ads.txt (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'booksnovels.com'. (_ssl.c:1017)"")))"
https://modhub.us,-,https://modhub.us,https://modhub.us/ads.txt,True,"hindsightsolutions.net, HSOTNT11, DIRECT; hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 22655109307, RESELLER","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807",-,-,-,
https://athleticia.net,-,https://athleticia.net,https://athleticia.net/ads.txt,True,"hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 22652678936, RESELLER",-,-,-,-,-,-,
https://Automoto.it,-,https://Automoto.it,https://Automoto.it/ads.txt,True,"hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 63d019e538e7f8c0798b8f64, RESELLER; hindsightsolutions.net, 334, RESELLER",-,-,-,-,-,-,
